iter	Passed	Remaining
416	2867	4009
417	2873	4000
418	2879	3992
419	2887	3987
420	2893	3978
421	2897	3968
422	2902	3958
423	2908	3951
424	2915	3944
425	2919	3933
426	2927	3928
427	2933	3920
428	2944	3919
429	2959	3923
430	2993	3952
431	3011	3958
432	3020	3955
433	3026	3946
434	3033	3939
435	3037	3929
436	3042	3919
437	3063	3930
438	3073	3927
439	3078	3918
440	3084	3910
441	3093	3905
442	3104	3903
443	3108	3892
444	3112	3881
445	3122	3878
446	3127	3868
447	3137	3865
448	3141	3855
449	3147	3846
450	3153	3838
451	3163	3835
452	3176	3835
453	3182	3827
454	3190	3821
455	3196	3812
456	3202	3804
457	3209	3798
458	3214	3788
459	3220	3780
460	3228	3774
461	3233	3764
462	3239	3757
463	3243	3747
464	3248	3737
465	3255	3730
466	3258	3719
467	3262	3709
468	3266	3698
469	3270	3688
470	3275	3678
471	3281	3670
472	3286	3661
473	3291	3652
474	3296	3643
475	3303	3636
476	3315	3635
477	3322	3627
478	3327	3619
479	3332	3610
480	3336	3600
481	3341	3591
482	3345	3580
483	3348	3570
484	3352	3560
485	3356	3550
486	3360	3539
487	3363	3529
488	3369	3521
489	3373	3511
490	3377	3501
491	3386	3496
492	3390	3486
493	3394	3476
494	3400	3468
495	3404	3458
496	3407	3448
497	3411	3438
498	3414	3428
499	3418	3418
500	3422	3409
501	3426	3399
502	3431	3390
503	3436	3381
504	3443	3375
505	3450	3368
506	3456	3360
507	3462	3353
508	3466	3344
509	3475	3338
510	3484	3334
511	3496	3332
512	3505	3327
513	3514	3322
514	3522	3317
515	3526	3307
516	3531	3299
517	3538	3292
518	3542	3282
519	3546	3273
520	3551	3264
521	3555	3255
522	3565	3251
523	3570	3243
524	3576	3235
525	3582	3228
526	3586	3219
527	3591	3210
528	3596	3202
529	3604	3196
530	3609	3187
531	3613	3178
532	3618	3170
533	3622	3161
534	3630	3155
535	3638	3149
536	3646	3144
537	3652	3136
538	3656	3127
539	3663	3120
540	3668	3112
541	3673	3104
542	3678	3096
543	3684	3088
544	3689	3079
545	3695	3072
546	3701	3065
547	3705	3056
548	3715	3051
549	3719	3042
550	3730	3040
551	3733	3030
552	3738	3022
553	3744	3014
554	3748	3005
555	3752	2996
556	3756	2987
557	3760	2978
558	3763	2968
559	3766	2959
560	3770	2950
561	3774	2941
562	3779	2933
563	3787	2927
564	3790	2918
565	3793	2908
566	3802	2904
567	3806	2895
568	3826	2898
569	3842	2899
570	3848	2891
571	3853	2883
572	3857	2874
573	3862	2866
574	3867	2858
575	3870	2849
576	3875	2841
577	3882	2834
578	3886	2825
579	3891	2818
580	3896	2810
581	3902	2803
582	3908	2795
583	3925	2796
584	3943	2797
585	3955	2794
586	3960	2786
587	3969	2781
588	3975	2774
589	3981	2767
590	3986	2759
591	3991	2750
592	3997	2743
593	4001	2735
594	4005	2726
595	4012	2720
596	4017	2712
597	4032	2710
598	4036	2702
599	4042	2695
600	4058	2694
601	4063	2686
602	4069	2678
603	4073	2670
604	4077	2662
605	4081	2653
606	4085	2645
607	4090	2637
608	4096	2629
609	4100	2621
610	4104	2613
611	4111	2606
612	4115	2598
613	4121	2590
614	4127	2584
615	4134	2577
616	4138	2569
617	4149	2564
618	4154	2557
619	4159	2549
620	4164	2541
621	4170	2534
622	4175	2527
623	4181	2519
624	4188	2513
625	4192	2505
626	4202	2500
627	4208	2492
628	4215	2486
629	4223	2480
630	4228	2472
631	4232	2464
632	4241	2459
633	4251	2454
634	4264	2451
635	4269	2443
636	4275	2436
637	4280	2428
638	4284	2420
639	4290	2413
640	4295	2405
641	4300	2397
642	4312	2394
643	4319	2387
644	4324	2380
645	4329	2372
646	4338	2367
647	4344	2359
648	4360	2358
649	4368	2352
650	4375	2345
651	4385	2340
652	4395	2336
653	4400	2328
654	4412	2324
655	4419	2317
656	4425	2310
657	4431	2303
658	4436	2295
659	4443	2289
660	4449	2281
661	4452	2273
662	4457	2265
663	4464	2259
664	4475	2254
665	4485	2249
666	4491	2242
667	4494	2233
668	4498	2225
669	4502	2217
670	4507	2210
671	4516	2204
672	4522	2197
673	4542	2197
674	4549	2190
675	4554	2182
676	4557	2174
677	4561	2166
678	4565	2158
679	4570	2150
680	4576	2143
681	4581	2136
682	4584	2127
683	4588	2119
684	4592	2112
685	4596	2103
686	4600	2095
687	4606	2089
688	4611	2081
689	4615	2073
690	4621	2066
691	4625	2058
692	4628	2050
693	4632	2042
694	4636	2034
695	4640	2027
696	4644	2019
697	4649	2011
698	4653	2003
699	4660	1997
700	4665	1990
701	4670	1982
702	4674	1974
703	4680	1967
704	4685	1960
705	4689	1952
706	4694	1945
707	4701	1939
708	4704	1931
709	4711	1924
710	4716	1916
711	4722	1910
712	4727	1902
713	4732	1895
714	4737	1888
715	4744	1881
716	4759	1878
717	4763	1870
718	4772	1865
719	4778	1858
720	4786	1852
721	4789	1844
722	4795	1837
723	4814	1835
724	4822	1829
725	4838	1826
726	4844	1819
727	4857	1815
728	4883	1815
729	4895	1810
730	4911	1807
731	4918	1800
732	4948	1802
733	4988	1807
734	4999	1802
735	5007	1796
736	5013	1789
737	5022	1783
738	5028	1776
739	5041	1771
740	5048	1764
741	5053	1757
742	5060	1750
743	5066	1743
744	5071	1735
745	5077	1728
746	5086	1722
747	5093	1715
748	5098	1708
749	5103	1701
750	5114	1695
751	5119	1688
752	5128	1682
753	5134	1675
754	5138	1667
755	5142	1659
756	5146	1652
757	5152	1644
758	5157	1637
759	5173	1633
760	5178	1626
761	5183	1619
762	5189	1611
763	5200	1606
764	5204	1598
765	5208	1591
766	5219	1585
767	5231	1580
768	5237	1573
769	5251	1568
770	5261	1562
771	5275	1558
772	5297	1555
773	5303	1548
774	5309	1541
775	5315	1534
776	5319	1526
777	5326	1519
778	5330	1512
779	5337	1505
780	5342	1497
781	5347	1490
782	5354	1483
783	5360	1476
784	5372	1471
785	5376	1463
786	5381	1456
787	5386	1449
788	5398	1443
789	5405	1436
790	5412	1430
791	5420	1423
792	5429	1417
793	5434	1409
794	5441	1403
795	5457	1398
796	5464	1391
797	5471	1385
798	5480	1378
799	5486	1371
800	5493	1364
801	5496	1357
802	5502	1349
803	5507	1342
804	5520	1337
805	5544	1334
806	5559	1329
807	5566	1322
808	5572	1315
809	5576	1308
810	5581	1300
811	5586	1293
812	5598	1287
813	5603	1280
814	5608	1273
815	5612	1265
816	5618	1258
817	5627	1252
818	5633	1245
819	5640	1238
820	5643	1230
821	5648	1223
822	5656	1216
823	5705	1218
824	5709	1211
825	5722	1205
826	5732	1199
827	5737	1191
828	5743	1184
829	5748	1177
830	5756	1170
831	5765	1164
832	5770	1156
833	5789	1152
834	5796	1145
835	5803	1138
836	5810	1131
837	5824	1125
838	5831	1118
839	5836	1111
840	5845	1105
841	5851	1098
842	5865	1092
843	5870	1084
844	5875	1077
845	5879	1070
846	5884	1062
847	5890	1055
848	5895	1048
849	5901	1041
850	5912	1035
851	5917	1027
852	5923	1020
853	5933	1014
854	5939	1007
855	5944	999
856	5947	992
857	5953	985
858	5958	978
859	5963	970
860	5971	964
861	5978	957
862	5984	950
